,BORO,BLOCK,FROM_LOT,TO_LOT,FILING YEAR,REGULATED,UNREGULATED,OFFICE,OWNER/RELATED SPACE,GOV. RENTAL SUBSIDIES,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,AMORTIZED LEASE AND TENANT IMP. COSTS,REPAIRS AND MAINT.,tract_10,bbl,repairs_percent_of_expenses,expenses_percent_of_income,repairs_percent_of_income
656,1,01113,1001,1001.0,2021,,,,,,2077852.0,630017.0,343206.0,1307.0,,1011131001,0.20745471947582367,30.320590686920916,0.0629014963529645
657,1,01098,0011,,2021,,,,,,878883.0,379317.0,31167.0,38461.0,,1010980011,10.139540278975105,43.15898703240363,4.3761228741482086
658,1,01105,0036,,2021,2217719.0,,5596014.0,,,8632765.0,2353046.0,536851.0,392285.0,36061013500.0,1011050036,16.671369790475836,27.25715341492558,4.544140840159555
660,1,01113,0051,,2021,,,10836237.0,,,12352156.0,2897231.0,579444.0,271625.0,,1011130051,9.375331135142487,23.455265623264474,2.1990088208082863
661,1,01113,0001,,2021,125292.0,16168726.0,,,,17764082.0,7797089.0,839854.0,1375592.0,,1011130001,17.64237909814804,43.89243981197565,7.7436706270552005
662,1,01114,1301,1301.0,2021,,,,,,18356553.0,1066029.0,268086.0,34423.0,,1011141301,3.229086638355992,5.807348471142703,0.18752431352444002
664,1,01114,1102,1102.0,2021,,,,,,2529601.0,318330.0,73040.0,1000.0,,1011141102,0.3141394150724091,12.584198061275275,0.039531926181243605
665,1,01114,1601,1601.0,2021,,,,,,6461561.0,521980.0,,,,1011141601,,8.07823372711331,
669,1,01115,1602,1602.0,2021,,,,,,1755229.0,412809.0,25426.0,47008.0,,1011151602,11.3873486285425,23.51881150550726,2.6781690594218763
671,1,01116,1001,1001.0,2021,,,8749843.0,,,15622980.0,6085896.0,395256.0,1842577.0,,1011161001,30.2761828332262,38.954770472726715,11.794017530586354
672,1,01115,0007,,2021,,,804904.0,,,860194.0,1125657.0,848794.0,21855.0,,1011150007,1.9415328115047477,130.86082906879147,2.5407059337777294
673,1,01116,0042,,2021,10308.0,492624.0,,,,502932.0,102257.0,,17632.0,,1011160042,17.242829341756554,20.33217214255605,3.5058417440131073
675,1,01116,0018,,2021,82064.0,475115.0,,,,557179.0,340493.0,146883.0,25478.0,,1011160018,7.482679526451351,61.110163879112456,4.572677721163217
677,1,01117,0001,,2021,,19189821.0,696884.0,,,24607387.0,8859559.0,701000.0,1833150.0,,1011170001,20.691210476729147,36.00365613789063,7.449592270808762
681,1,01117,0039,,2021,590644.0,2518009.0,,,,3137145.0,1221820.0,,190303.0,,1011170039,15.575371167602428,38.94687685777992,6.066120628788277
682,1,01118,0005,,2021,,,683508.0,,,2855964.0,1171822.0,60062.0,130728.0,,1011180005,11.155960546909,41.03069926651737,4.577368622293558
684,1,01118,9001,,2021,735384.0,12778697.0,,898008.0,,15217904.0,4897016.0,,523186.0,,1011189001,10.6837715049328,32.17930669033002,3.437963598666413
686,1,01120,0051,,2021,,1875119.0,,,,1886103.0,920939.0,,429375.0,,1011200051,46.62360916412488,48.82760909664,22.76519362940412
687,1,01120,0055,,2021,540208.0,,,,,540208.0,261200.0,,155814.0,,1011200055,59.6531393568147,48.35174599413559,28.843334419334777
